dataset,instance,n,m,constructive,local_search,best_method_of,best_global_of,relative_dev,is_best,avg_time_per_iter,avg_of,std_of,iters,alpha_teua,beta
Geo,Geo 250 10.txt,250,25,CGR2,BLS,98.76402020879114,102.22717864710907,0.03387708126302544,0,0.0028458599955774842,94.8328924751066,1.6850553650683555,100,,0.9
Geo,Geo 250 10.txt,250,25,CGR2,FLS,102.22717864710907,102.22717864710907,0.0,1,0.05339058900484815,99.12057941225541,1.7188889057970518,100,,0.9
Geo,Geo 250 11.txt,250,75,CGR,BLS,30.263797163702023,31.096463943751676,0.02677689596977356,0,0.014173947998788208,29.185638644268238,0.43648649362984177,100,0.1,
Geo,Geo 250 11.txt,250,75,CGR,FLS,31.096463943751676,31.096463943751676,0.0,1,0.45946352199825924,30.305495859394824,0.34788845165614674,100,0.1,
Geo,Geo 250 11.txt,250,75,CGR2,BLS,30.024269152960876,31.096463943751676,0.03447963706517312,0,0.00885622699104715,29.098484079116623,0.4896320413590005,100,,0.9
Geo,Geo 250 11.txt,250,75,CGR2,FLS,31.096463943751676,31.096463943751676,0.0,1,0.4277773759991396,30.121351265601913,0.4578774249540762,100,,0.9
Geo,Geo 250 12.txt,250,75,CGR,BLS,91.55622993366087,93.44226772967832,0.02018398998484944,0,0.015311396000324749,90.13653686495205,0.7042845302942211,100,0.1,
Geo,Geo 250 12.txt,250,75,CGR,FLS,93.44226772967832,93.44226772967832,0.0,1,0.4087646659987513,91.92857367554025,0.5804996612355272,100,0.1,
Geo,Geo 250 12.txt,250,75,CGR2,BLS,91.49279594934097,93.44226772967832,0.02086284748543376,0,0.008424897999502719,90.12876487914944,0.7135909911933311,100,,0.9
Geo,Geo 250 12.txt,250,75,CGR2,FLS,93.14828290081412,93.44226772967832,0.0031461653918189738,0,0.36564685900521,91.5574000789049,0.6311191827914348,100,,0.9
Geo,Geo 250 13.txt,250,75,CGR,BLS,143.38175484156824,144.81757939930426,0.00991471176145708,0,0.017153151001548395,141.69036642237245,0.617075215587827,100,0.1,
Geo,Geo 250 13.txt,250,75,CGR,FLS,144.81757939930426,144.81757939930426,0.0,1,0.4106416910002008,143.29349955943835,0.6464115462343514,100,0.1,
Geo,Geo 250 13.txt,250,75,CGR2,BLS,143.38904522283357,144.81757939930426,0.009864369936275529,0,0.00912256200273987,141.65408260558817,0.5595715336038791,100,,0.9
Geo,Geo 250 13.txt,250,75,CGR2,FLS,144.81757939930426,144.81757939930426,0.0,1,0.37026047500083226,143.2677045105861,0.779318452563139,100,,0.9
Geo,Geo 250 14.txt,250,75,CGR,BLS,69.04391270318689,70.11528640239061,0.015280172900601451,0,0.017671339000808074,67.38883438757716,0.6070260987787893,100,0.1,
Geo,Geo 250 14.txt,250,75,CGR,FLS,70.11528640239061,70.11528640239061,0.0,1,0.44245252599881496,69.16099398818369,0.5627373669846873,100,0.1,
Geo,Geo 250 14.txt,250,75,CGR2,BLS,68.65657057243291,70.11528640239061,0.020804533573266008,0,0.00922153799852822,67.4320009512725,0.6273989966109332,100,,0.9
Geo,Geo 250 14.txt,250,75,CGR2,FLS,69.87647886440534,70.11528640239061,0.003405926870422429,0,0.38827216799894815,69.1818964828519,0.5021978286123303,100,,0.9
